Country,Year,Predicted_Share
Belgium,2026,5.799412113323656
Belgium,2027,5.607333838212693
Belgium,2028,5.487994518024869
Belgium,2029,5.419395601848412
Belgium,2030,5.382854723091595
Belize,2020,34.51859084250816
Belize,2021,34.55866636495396
Belize,2022,34.60306581186724
Belize,2023,34.61911941309627
Belize,2024,34.603467941372415
Belize,2025,34.56821610098504
Belize,2026,34.528077454551884
Belize,2027,34.49324091844406
Belize,2028,34.46785838979071
Belize,2029,34.451698353110004
Belize,2030,34.442518185644296
Benin,2020,45.73144412754943
Benin,2021,46.94953219388678
Benin,2022,48.42938474222051
Benin,2023,49.92468522836151
Benin,2024,51.24592739942695
Benin,2025,52.291357304942714
Benin,2026,53.04204116458245
Benin,2027,53.53530365538761
Benin,2028,53.8335457472133
Benin,2029,54.000124666105
Benin,2030,54.08631502642757
Bermuda,2020,0.7514625030659902
Bermuda,2021,0.7249338391613329
Bermuda,2022,0.6942255876085017
Bermuda,2023,0.6655768946340501
Bermuda,2024,0.6426481720136721
Bermuda,2025,0.6264833367072998
Bermuda,2026,0.6163126884569678
Bermuda,2027,0.6105647618148082
Bermuda,2028,0.6076404504023788
Bermuda,2029,0.606303062888032
Bermuda,2030,0.6057564950202635
Bhutan,2020,82.91178347919144
Bhutan,2021,83.28826247720109
Bhutan,2022,83.99878372141359
Bhutan,2023,84.89119667894644
Bhutan,2024,85.80113771287496
Bhutan,2025,86.6018814504051
Bhutan,2026,87.22721612299934
Bhutan,2027,87.66733276869937
Bhutan,2028,87.94918574677777
Bhutan,2029,88.11448467836503
Bhutan,2030,88.20366843082518
Bolivia,2020,9.376583054034015
Bolivia,2021,10.825645923514951
Bolivia,2022,12.343916859954051
Bolivia,2023,13.740809265480298
Bolivia,2024,14.896013541381102
Bolivia,2025,15.765802194832363
Bolivia,2026,16.36675640492787
Bolivia,2027,16.749742082286144
Bolivia,2028,16.975675659113346
Bolivia,2029,17.099366167855123
Bolivia,2030,17.162324506340806
Bosnia and Herzegovina,2020,23.19518346809332
Bosnia and Herzegovina,2021,22.65033920097703
Bosnia and Herzegovina,2022,22.072067357114253
Bosnia and Herzegovina,2023,21.5299300543009
Bosnia and Herzegovina,2024,21.06733523996448
Bosnia and Herzegovina,2025,20.703410726355916
Bosnia and Herzegovina,2026,20.437974470195563
Bosnia and Herzegovina,2027,20.258088485945557
Bosnia and Herzegovina,2028,20.14473954524075
Bosnia and Herzegovina,2029,20.078325137150927
Bosnia and Herzegovina,2030,20.04214168018099
Botswana,2020,27.74436820856665
Botswana,2021,28.433610405283584
Botswana,2022,29.073656922489064
Botswana,2023,29.619189852343595
Botswana,2024,30.05023382294846
Botswana,2025,30.36754655513021
Botswana,2026,30.585660783964304
Botswana,2027,30.72575249309998
Botswana,2028,30.8098227929519
Botswana,2029,30.856943332220073
Botswana,2030,30.881599522861634
Brazil,2020,47.16028578462557
Brazil,2021,47.11298580284246
Brazil,2022,46.84063636826327
Brazil,2023,46.456572551719894
Brazil,2024,46.06017575401025
Brazil,2025,45.716659372853556
Brazil,2026,45.454518873988185
Brazil,2027,45.27437057605306
Brazil,2028,45.16149074818959
Brazil,2029,45.09651275304398
Brazil,2030,45.061982377467594
Brunei,2020,0.010000000000000002
Brunei,2021,0.010000000000000002
Brunei,2022,0.010000000000000002
Brunei,2023,0.010000000000000002
Brunei,2024,0.010000000000000002
Brunei,2025,0.010000000000000002
Brunei,2026,0.010000000000000002
Brunei,2027,0.010000000000000002
Brunei,2028,0.010000000000000002
Brunei,2029,0.010000000000000002
Brunei,2030,0.010000000000000002
Bulgaria,2020,15.355270521071883
Bulgaria,2021,14.7148313912133
Bulgaria,2022,14.136751100689636
Bulgaria,2023,13.642079933494248
Bulgaria,2024,13.241636795291823
Bulgaria,2025,12.936269500762188
Bulgaria,2026,12.717826328481266
Bulgaria,2027,12.57172602657767
Bulgaria,2028,12.480573351805733
Bulgaria,2029,12.427597105266244
Bulgaria,2030,12.39893854973932
Burkina Faso,2020,72.52705780566261
Burkina Faso,2021,73.67706170563062
Burkina Faso,2022,74.88774830691503
Burkina Faso,2023,76.01439239403855
Burkina Faso,2024,76.96168754294042
Burkina Faso,2025,77.68942162615896
Burkina Faso,2026,78.20349155788622
Burkina Faso,2027,78.53874272614016
Burkina Faso,2028,78.74113155972461
Burkina Faso,2029,78.85445162711501
Burkina Faso,2030,78.91338449072886
Burundi,2020,86.42543654847375
Burundi,2021,86.63693490699207
Burundi,2022,87.23838900856003
Burundi,2023,88.06024197827936
Burundi,2024,88.92326471216707
Burundi,2025,89.69137075302253
Burundi,2026,90.29351430642545
Burundi,2027,90.71747895416576
Burundi,2028,90.98866485657845
Burundi,2029,91.14740696334296
Burundi,2030,91.23286977601951
Cambodia,2020,61.215599620393604
Cambodia,2021,62.77774482574615
Cambodia,2022,64.45132516160086
Cambodia,2023,66.01741013001627
Cambodia,2024,67.32932270662945
Cambodia,2025,68.32675813430865
Cambodia,2026,69.02092708041195
Cambodia,2027,69.46567723752388
Cambodia,2028,69.72904388027554
Cambodia,2029,69.87360169418123
Cambodia,2030,69.94730311647255
Cameroon,2020,80.25592977255438
Cameroon,2021,80.50466174488157
Cameroon,2022,80.6986894271319
Cameroon,2023,80.85628780637636
Cameroon,2024,80.98854619665077
Cameroon,2025,81.09906721003486
Cameroon,2026,81.18758995887669
Cameroon,2027,81.25387956507844
Cameroon,2028,81.299721193032
Cameroon,2029,81.32886053095646
Cameroon,2030,81.34587315226753
Canada,2020,21.606270136135695
Canada,2021,21.485419884584786
Canada,2022,21.462462690170277
Canada,2023,21.51631958082199
Canada,2024,21.61379590659164
Canada,2025,21.72291287782301
Canada,2026,21.82112777376152
Canada,2027,21.897456517459858
Canada,2028,21.950250026281214
Canada,2029,21.983266888125055
Canada,2030,22.002112745641494
Cape Verde,2020,22.163530393320542
Cape Verde,2021,22.145756876518487
Cape Verde,2022,22.348659707704023
Cape Verde,2023,22.674662074678416
Cape Verde,2024,23.029718801957113
Cape Verde,2025,23.347174075866587
Cape Verde,2026,23.594354476726267
Cape Verde,2027,23.766459072266603
Cape Verde,2028,23.87515949147602
Cape Verde,2029,23.937977914117262
Cape Verde,2030,23.97138266523681
Cayman Islands,2020,0.010000000000000002
Cayman Islands,2021,0.010000000000000002
Cayman Islands,2022,0.010000000000000002
Cayman Islands,2023,0.010000000000000002
Cayman Islands,2024,0.010000000000000002
Cayman Islands,2025,0.010000000000000002
Cayman Islands,2026,0.010000000000000002
Cayman Islands,2027,0.010000000000000002
Cayman Islands,2028,0.010000000000000002
Cayman Islands,2029,0.010000000000000002
Cayman Islands,2030,0.010000000000000002
Central African Republic,2020,91.24035046998966
Central African Republic,2021,91.37716018279839
Central African Republic,2022,91.51868290954856
Central African Republic,2023,91.61291232572083
Central African Republic,2024,91.64510851444497
Central African Republic,2025,91.62746650166112
Central African Republic,2026,91.58306181519681
Central African Republic,2027,91.53294457400281
Central African Republic,2028,91.49009195371062
Central African Republic,2029,91.45927275559123
Central African Republic,2030,91.43985337241699
Chad,2020,79.9087978029343
Chad,2021,80.45360081327571
Chad,2022,80.92922861746504
Chad,2023,81.3240443686261
Chad,2024,81.63572523897479
Chad,2025,81.86903284946452
Chad,2026,82.03391851047135
Chad,2027,82.14346486467669
Chad,2028,82.21163645193349
Chad,2029,82.25126708730134
Chad,2030,82.27274993588458
Chile,2020,26.470601721104746
Chile,2021,27.175146311468193
Chile,2022,27.8165575965528
Chile,2023,28.326615727548973
Chile,2024,28.686559245370535
Chile,2025,28.91334235103222
Chile,2026,29.040815523226147
Chile,2027,29.104211598217816
Chile,2028,29.131524242418376
Chile,2029,29.141191594309575
Chile,2030,29.14354187695062
China,2020,15.102792841680719
China,2021,15.776064918508611
China,2022,16.4211705078703
China,2023,16.995924157247824
China,2024,17.469001553751927
China,2025,17.828100853026893
China,2026,18.079620117926343
China,2027,18.242423032921803
China,2028,18.33998134170458
China,2029,18.394197928528637
China,2030,18.422183938250168
Colombia,2020,30.088388073605483
Colombia,2021,29.829357865668328
Colombia,2022,29.666741292123163
Colombia,2023,29.587022396167622
Colombia,2024,29.564929459006432
Colombia,2025,29.57465267772863
Colombia,2026,29.59646319209056
Colombia,2027,29.618569176918047
Colombia,2028,29.635841289585255
Colombia,2029,29.647363875982073
Colombia,2030,29.65418411421923
Comoros,2020,60.77309039305243
Comoros,2021,61.524421302318835
Comoros,2022,62.417621727110564
Comoros,2023,63.29875948010485
Comoros,2024,64.06119012857978
Comoros,2025,64.65417708135547
Comoros,2026,65.0741492846553
Comoros,2027,65.34710227917243
Comoros,2028,65.51071377412059
Comoros,2029,65.60147015939722
Comoros,2030,65.6481717163261
Congo,2020,69.02501165015507
Congo,2021,68.34790245455086
